Name	Lon	Lat
West Dock	-148.552	70.374
WIGA2	-150.109	63.814
Wrigley_KP313_T6	-123.7	63.43
kaldoaivi_A1	27.156	69.83
kaldoaivi_A2	27.157	69.847
kaldoaivi_A3	27.209	69.866
kaldoaivi_A4	27.153	69.867
kaldoaivi_A5	27.105	69.848
kaldoaivi_A6	27.106	69.832
kaldoaivi_A7	27.208	69.848
kaldoaivi_A8	27.262	69.848
kaldoaivi_A9	27.261	69.865
kaldoaivi_A10	27.309	69.867
kaldoaivi_A11	27.31	69.847
kaldoaivi_A12	27.352	69.846
kaldoaivi_A14	27.311	69.838
kaldoaivi_A15	27.294	69.824
kaldoaivi_A16	27.313	69.812
kaldoaivi_A17	27.346	69.802
kaldoaivi_A18	27.275	69.81
kaldoaivi_A19	27.254	69.799
kaldoaivi_A20	27.207	69.805
kaldoaivi_A21	27.206	69.81
kaldoaivi_A22	27.167	69.821
kaldoaivi_A23	27.166	69.821
kaldoaivi_A24	27.155	69.794
kaldoaivi_A25	27.123	69.812
Yukechi_Alas 1	130.46503	61.7649
Yukechi_Yedoma 1	130.47438	61.75967
 Bykovsky penn. (edoma)_ BY1	129.356	71.7425
 Chukochy Cape_ ChC	159.917	70.07
 Amboliha_ AMB	161.35	68.6134
 Duvanniy Yar_ DUV	159.079	68.6334
 Bykovsky penn. (alas)_ BY3	129.4014	71.78428
 Shuche Lake (yedoma)_ ShY	161.384	68.7448
 Pleistocene Park (floodplain)_ PP1	161.499	68.5133
 Pleistocen Park (yedoma)_ PP2	161.493	68.5116
 Shuche Lake (alas)	161.388	68.7462
 Ambboliha_ AM2	161.34977	68.61339
 Kurishka_ KUR	129.833	62.2917
 Amboliha (DE Towers)_ AM3	          NaN	          NaN
 Suharnaya_surface	161.824	69.4876
C17K	-163.17784	68.47557
C26A	-144.91223	69.91752
E23K	-149.61642	68.05841
F17	-161.25018	66.44199
H31	-134.34272	65.80527
I17K	-160.69498	63.88636
MRA1	-148.658208	65.483305
MRA2	-148.730488	65.449811
MRA3	-148.161944	65.302714
MRA4	-149.17632	65.29665
SHA1	-147.29108	65.171203
SHA2	-147.290316	65.171796
SHA3	-147.207102	65.209122
SHA4	-147.20758	65.209466
WS1	-150.277801	67.197486
WS2	-150.323731	66.980492
WS3	-150.405318	66.952119
WFD	-150.3503795	66.26780415
A19K	-161.08122	70.19361
A22K	-154.9742	71.0033
B18K	-161.80172	69.36416
B20K	-157.15944	70.00832
B21K	-154.61274	69.62113
B22K	-153.41952	70.340003
C16K	-165.3463	68.27547
C18K	-161.19424	68.64834
C19K	-159.58732	69.1049
C21K	-154.78323	69.15654
D19K	-158.11054	68.49457
D20K	-156.61324	68.71354
D22K	-152.68207	68.87988
D23K	-150.68092	68.9656
E18K	-160.59803	67.42081
E20K	-155.76137	68.10339
F19K	-157.15378	66.88504
K13K	-164.65553	61.9331
L17K	-158.29729	62.134431
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
